Course Code,Course Code Change,Title,Title Change,NEW,REV,DEL,Unit,Unit Change,Transferability,Transferability Status,Comments,Effective Date,Published COR
ANTHRO121,,"Anthropology Of Religion, Magic And Witchcraft",,,X,,3.0,,Transferable to both UC and CSU,Approved,"Course Prerequisites, Corequisites, Antirequisites, and Advisories, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
ANTHRO121,,"Anthropology Of Religion, Magic And Witchcraft",,,X,,3.0,,Transferable to both UC and CSU,Approved,,2025 Summer,
ART202,,Drawing II,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, CSLOs, Course Objectives, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
ART204,,Life Drawing I,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
ART204,,Life Drawing I,,,X,,3.0,,Transferable to both UC and CSU,Approved,CSLOs,2026 Winter,
ART205,,Life Drawing II,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
ART205,,Life Drawing II,,,X,,3.0,,Transferable to both UC and CSU,Approved,,2026 Fall,
ART206,,Life Drawing III,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
ART501,,Beginning Two-Dimensional Design,,,X,,3.0,,Transferable to both UC and CSU,Approved,,2025 Fall,
ART502,,Beginning Three-Dimensional Design,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Course Objectives, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
ART519,,Exhibition Design,,,X,,3.0,,Transferable to CSU only,Approved,"College Catalog Course Description, Course Objectives, Course Transfer Status",2024 Fall,
ART700,,Introduction To Sculpture,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
ARTHIST103,,Art Appreciation I,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
ARTHIST110,,Survey Of Western Art History I,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
ARTHIST120,,Survey Of Western Art History II,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
ARTHIST126,,Introduction To Modern Art,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Prerequisites, Corequisites, Antirequisites, and Advisories, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
ARTHIST130,,Survey Of Asian Art History,,,X,,3.0,,Transferable to both UC and CSU,Approved,"CSLOs, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
ARTHIST140,,"Survey of Arts of Africa, Oceania, and Ancient America",,,X,,3.0,,Transferable to both UC and CSU,Approved,"Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
ARTHIST161,,Introduction To American Art,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Fall,
ARTHIST170,,History of Contemporary Art,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
ASTRON005,,Fundamentals Of Astronomy Laboratory,,,X,,1.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2026 Winter,
BIOLOGY003,,Introduction To Biology,Introduction to Biology,,X,,4.0,,Transferable to both UC and CSU,,Course Title,2025 Fall,
BIOLOGY185,,Directed Study - Biology,,,X,,1.0,,Transferable to CSU only,Approved,"Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Winter,
BIOLOGY408,,Pharmacology,,,X,,3.0,,Transferable to CSU only,Pending,Course Family (Courses Related in Content),2025 Spring,
BIOTECH102,,Cell Culture,,,X,,4.0,,Transferable to CSU only,Approved,,2025 Spring,
BIOTECH300,,Supply Chain and Enterprise Resource Planning in Biomanufacturing,,,X,,3.0,,Transferable to CSU only,Pending,,2025 Fall,
BIOTECH310,,Biomanufacturing Process Sciences,,,X,,5.0,,Transferable to CSU only,Pending,,2025 Fall,
BIOTECH320,,Design of Experiments for Biomanufacturing,,,X,,4.0,,Transferable to CSU only,Pending,,2025 Fall,
BIOTECH330,,Advanced Topics in Quality Assurance and Regulatory Affairs,,,X,,4.0,,Transferable to CSU only,Pending,,2025 Spring,
BIOTECH340,,Six Sigma and Lean Manufacturing,,,X,,3.0,,Transferable to CSU only,Pending,,2025 Fall,
BIOTECH360,,"Design of Biomanufacturing Facilities, Critical Utilities, Processes, and Equipment",,,X,,3.0,,Transferable to CSU only,Pending,,2025 Fall,
BIOTECH400,,Bioprocess Monitoring And Control,,,X,,4.0,,Transferable to CSU only,Pending,,2025 Fall,
BIOTECH410,,"Methods in Quality, Improvements, Investigations, and Audits",,,X,,4.0,,Transferable to CSU only,Pending,,2025 Fall,
BIOTECH460,,Capstone Seminar in Biomanufacturing Technologies,,,X,,3.0,,Transferable to CSU only,Pending,,2025 Fall,
BIOTECH470,,Capstone Seminar in Biomanufacturing Quality,,,X,,3.0,,Transferable to CSU only,Pending,,2025 Fall,
BUS001,,Introduction To Business,,,X,,3.0,,Transferable to both UC and CSU,Approved,,2025 Spring,
BUS009,,Volunteer Income Tax Assistance (VITA) Certification Training,,,X,,1.0,,,,,2025 Spring,
BUS010,,Volunteer Income Tax Assistance (VITA) Clinic Participation,,,X,,3.0,,Transferable to CSU only,Approved,"Transfer Status, Course Prerequisites, Corequisites, Antirequisites, and Advisories, Course Transfer Status",2024 Fall,
CAOT032,,Business Communications,,,X,,3.0,,Transferable to CSU only,Approved,,2025 Spring,
CAOT078,,Microcomputer Acctg Applications For The Electronic Office,,,X,,3.0,,Transferable to CSU only,Approved,Course Transfer Status,2025 Spring,
CAOT078,,Microcomputer Acctg Applications For The Electronic Office,Computer Accounting Applications: QuickBooks,,X,,3.0,,Transferable to CSU only,Approved,"Transcript Abbreviation, Course Title",2025 Fall,
CAOT082,,Microsoft Office Suite,,,X,,3.0,,Transferable to CSU only,Approved,,2025 Spring,
CAOT085,,Microsoft Excel: Spreadsheet,,,X,,3.0,,Transferable to CSU only,Approved,Indicate DE Approval in Affiliated Programs,2025 Spring,
CH DEV001,,Child Growth And Development,,,X,,3.0,,Transferable to CSU only,Approved,"Course Objectives, Course Transfer Status",2025 Spring,
CH DEV002,,Early Childhood: Principles And Practices,,,X,,3.0,,Transferable to both UC and CSU,Pending,"Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
CH DEV007,,Introduction To Curriculum In Early Childhood Education,,,X,,3.0,,Transferable to CSU only,Approved,,2025 Spring,
CH DEV008,,Curriculum In Early Childhood Education,,,X,,3.0,,Transferable to CSU only,Approved,"College Catalog Course Description, Course Objectives",2025 Fall,
CH DEV010,,"Health, Safety And Nutrition",,,X,,3.0,,Transferable to CSU only,Approved,College Catalog Course Description,2026 Winter,
CH DEV011,,"Child, Family And Community",,,X,,3.0,,Transferable to both UC and CSU,Pending,"Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
CH DEV011,,"Child, Family And Community","Child, Family, and Community",,X,,3.0,,Transferable to both UC and CSU,Pending,"Transcript Abbreviation, Course Title",2025 Fall,
CH DEV014,,Dual Language Development in the Early Years,,,X,,3.0,,Transferable to CSU only,Approved,"College Catalog Course Description, Course Objectives",2025 Fall,
CH DEV015,,Introduction to Curriculum for Dual Language Learners,,,X,,3.0,,Transferable to CSU only,Approved,"Transcript Abbreviation, College Catalog Course Description, Course Objectives",2025 Fall,
CH DEV022,,Practicum In Child Development I,,,X,,4.0,,Transferable to CSU only,Approved,Course Objectives,2025 Spring,
CH DEV022,,Practicum In Child Development I,,,X,,4.0,,Transferable to CSU only,Approved,,2026 Spring,
CH DEV023,,Practicum In Child Development II,,,X,,4.0,,Transferable to CSU only,Approved,"College Catalog Course Description, Course Objectives",2025 Fall,
CH DEV030,,Infant/Toddler Development,,,X,,3.0,,Transferable to both UC and CSU,Pending,College Catalog Course Description,2025 Fall,
CH DEV031,,Infant/Toddler Care and Education,,,X,,3.0,,Transferable to both UC and CSU,Pending,"College Catalog Course Description, Transfer Status, Course Transfer Status",2025 Fall,
CH DEV034,,Observing And Recording Children's Behavior,,,X,,3.0,,Transferable to CSU only,Approved,College Catalog Course Description,2025 Fall,
CH DEV034,,Observing And Recording Children's Behavior,,,X,,3.0,,Transferable to CSU only,Approved,,2026 Winter,
CH DEV038,,Administration & Supervision Of Early Childhood Programs I,,,X,,3.0,,Transferable to CSU only,Approved,"College Catalog Course Description, Course Objectives",2026 Spring,
CH DEV039,,Administration II: Personnel and Leadership In Early Childhood Education,,,X,,3.0,,Transferable to CSU only,Approved,Course Objectives,2026 Spring,
CH DEV042,,Teaching In A Diverse Society,,,X,,3.0,,Transferable to both UC and CSU,Pending,"College Catalog Course Description, Transfer Status, Course Transfer Status",2025 Fall,
CH DEV042,,Teaching In A Diverse Society,,,X,,3.0,,Transferable to both UC and CSU,Pending,,2026 Spring,
CH DEV044,,Early Intervention For Children With Special Needs,,,X,,3.0,,Transferable to CSU only,Approved,College Catalog Course Description,2026 Spring,
CH DEV045,,Programs For Children With Special Needs,,,X,,3.0,,Transferable to CSU only,Approved,"College Catalog Course Description, CSLOs",2026 Spring,
CH DEV046,,School Age Programs I,,,X,,3.0,,Transferable to CSU only,Approved,,2026 Spring,
CH DEV060,,Introduction To Family Child Care I,,,X,,1.0,,Transferable to CSU only,Approved,College Catalog Course Description,2025 Fall,
CH DEV061,,Introduction To Family Child Care II,,,X,,1.0,,Transferable to CSU only,Approved,,2025 Fall,
CH DEV062,,Developmental Profiles: Pre-Birth Through Age Eight,,,X,,2.0,,Transferable to CSU only,Approved,College Catalog Course Description,2025 Fall,
CH DEV063,,Creative Curriculum In A Family Child Care Setting,,,X,,2.0,,Transferable to CSU only,Approved,College Catalog Course Description,2025 Fall,
CH DEV065,,Adult Supervision/Early Childhood Mentoring,,,X,,2.0,,Transferable to CSU only,Approved,Course Objectives,2025 Spring,
CH DEV172,,Introduction To Careers In Child Development,,,X,,1.0,,Transferable to CSU only,Approved,Standard Accountability Measure (SAM) Code,2025 Fall,
CH DEV172,,Introduction To Careers In Child Development,,,X,,1.0,,Transferable to CSU only,Approved,"CSLOs, Course Objectives",2026 Spring,
CHEM051,,Fundamentals Of Chemistry I,,,X,,5.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Summer,
CHEM065,,Introductory General Chemistry,,,X,,4.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, CSLOs, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
CHEM101,,General Chemistry I,,,X,,5.0,,Transferable to both UC and CSU,Approved,,2025 Spring,
CHEM185,,Directed Study - Chemistry,,,X,," - ",1.0,Transferable to CSU only,Approved,"Course Code Suffix, Transcript Abbreviation, Taxonomy of Programs (TOP) Code, College Catalog Course Description, Standard Accountability Measure (SAM) Code, Course General Education Status, Transfer Status, Maximum Units, Minimum Units, Extra Duties, CSLOs, Course Objectives, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
CHEM211,,Organic Chemistry For Science Majors I,,,X,,5.0,,Transferable to both UC and CSU,Approved,"Course Objectives, Add to Distance Education Approved Report, Course Transfer Status",2024 Fall,
CHEM212,,Organic Chemistry For Science Majors II,,,X,,5.0,,Transferable to both UC and CSU,Approved,"Add to Distance Education Approved Report, Course Transfer Status",2024 Fall,
CHEM285,,Directed Study - Chemistry,,,X,," - ",2.0,Transferable to CSU only,Approved,"Course Code Suffix, Transcript Abbreviation, Taxonomy of Programs (TOP) Code, College Catalog Course Description, Standard Accountability Measure (SAM) Code, Course General Education Status, Maximum Units, Minimum Units, Extra Duties, CSLOs, Course Objectives, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
CHEM385,,Directed Study - Chemistry,,,X,," - ",3.0,Transferable to CSU only,Approved,"Course Code Suffix, Transcript Abbreviation, Taxonomy of Programs (TOP) Code, College Catalog Course Description, Standard Accountability Measure (SAM) Code, Course General Education Status, Transfer Status, Maximum Units, Minimum Units, Extra Duties, CSLOs, Course Objectives, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
CHICANO004,,Introduction To Chicana/o Studies,,X,,,3.0,,Transferable to both UC and CSU,Pending,,2025 Fall,
CHICANO020,,The Mexican-American In California,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Winter,
CHICANO046,,Mexican-American Folklore,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Winter,
CHICANO047,,The Mexican-American Woman In Society,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
CHICANO052,,Mexican Art-Modern,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Winter,
CHICANO054,,Mexican-American Arts In American Culture,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Winter,
CHICANO057,,Chicanas And Chicanos In Film,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Winter,
CHICANO057,,Chicanas And Chicanos In Film,Chicanas and Chicanos in Film,,X,,3.0,,Transferable to both UC and CSU,Approved,"Transcript Abbreviation, Course Title",2026 Fall,
CHICANO058,,Latin American Dance Cultures,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Winter,
CHICANO071,,The Chicano In Los Angeles,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Transfer Status, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Winter,
CINEMA003,,History Of Motion Pictures,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Summer,
CINEMA004,,History Of The Documentary Film,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Summer,
CINEMA107,,Understanding Motion Pictures,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Summer,
CINEMA125,,Film Production Workshop,Thesis Film Production Workshop,,X,,3.0,,Transferable to CSU only,,"Transcript Abbreviation, Course Title",2025 Fall,
CINEMA125,,Thesis Film Production Workshop,,,X,,3.0,,Transferable to CSU only,Approved,"Course Prerequisites, Corequisites, Antirequisites, and Advisories, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2026 Winter,
CIS148,,Introduction to Web Development HTML5 & CSS,,,X,,3.0,,Transferable to CSU only,Approved,,2025 Winter,
CIS148,,Introduction to Web Development HTML5 & CSS,,,X,,3.0,,Transferable to CSU only,Approved,"Taxonomy of Programs (TOP) Code, Classification of Instructional Programs (CIP) Code",2025 Spring,
CIS185,,Directed Study - Computer Information Systems,,,X,,1.0,,Transferable to CSU only,Approved,,2025 Fall,
CIS193,,Database Essentials in Amazon Web Services,,,X,,3.0,,Transferable to CSU only,Approved,,2024 Fall,
CIS194,,Compute Engines in Amazon Web Services,,,X,,3.0,,Transferable to CSU only,Approved,,2025 Winter,
CIS210,,Introduction to Computer Networking,,,X,,3.0,,Transferable to CSU only,Approved,,2025 Winter,
CIS211,,Security+ Certification Preparation,,,X,,3.0,,Transferable to CSU only,Approved,,2025 Fall,
CLN ART050,,Sanitation And Safety,,,X,,2.0,,Transferable to CSU only,Approved,,2025 Winter,
COMM100,,Introduction To Communication Studies,,X,,,3.0,,Transferable to both UC and CSU,Approved,,2024 Fall,
COMM100,,Introduction To Communication Studies,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Objectives, Indicate DE Approval in Affiliated Programs",2025 Spring,
COMM101,,Public Speaking,,,X,,3.0,,Transferable to both UC and CSU,Approved,"Transfer Status, Course Objectives",2024 Fall,
COMM102,,Oral Communication Ii,Oral Communication II,,X,,3.0,,Transferable to both UC and CSU,Approved,"Transcript Abbreviation, Course Title, CSLOs, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
COMM104,,Argumentation And Debate,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Prerequisites, Corequisites, Antirequisites, and Advisories, Course Objectives",2025 Spring,
COMM104,,Argumentation And Debate,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course General Education Status, CSLOs, Course Objectives",2026 Spring,
COMM109,,Social Media Strategies,,X,,,3.0,,Transferable to both UC and CSU,Pending,,2025 Fall,
COMM121,,Interpersonal Communication,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course General Education Status, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs",2024 Fall,
COMM121,,Interpersonal Communication,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course General Education Status, Course Objectives",2026 Spring,
COMM122,,Intercultural Communication,,,X,,3.0,,Transferable to both UC and CSU,Pending,"College Catalog Course Description, Course Objectives, Course Transfer Status",2025 Winter,
COMM122,,Intercultural Communication,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course Objectives, Course Transfer Status",2026 Spring,
COMM130,,Introduction To Oral Interpretation Of Literature,,X,,,3.0,,Transferable to both UC and CSU,Approved,,2024 Fall,
COMM130,,Introduction To Oral Interpretation Of Literature,,,X,,3.0,,Transferable to both UC and CSU,Approved,,2025 Fall,
COMM151,,Small Group Communication,,,X,,3.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, Course General Education Status, CSLOs, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
COMM151,,Small Group Communication,,,X,,3.0,,Transferable to both UC and CSU,Approved,Course Objectives,2025 Spring,
COMM151,,Small Group Communication,,,X,,3.0,,Transferable to both UC and CSU,Approved,,2025 Fall,
COMM190,,Communication And New Media,,X,,,3.0,,Transferable to both UC and CSU,Pending,,2025 Fall,
COMM101,COMMC1000,Public Speaking,Introduction to Public Speaking,,X,,3.0,,Transferable to both UC and CSU,Approved,"Course Number, Transcript Abbreviation, Course Title, College Catalog Course Description, Course Objectives",2025 Fall,
COUNSEL004,,Career Planning,,,X,,1.0,,Transferable to CSU only,Approved,Course Objectives,2025 Summer,
COUNSEL017,,College Survival Skills Development,,,X,,1.0,,Transferable to CSU only,Approved,"Transfer Status, Course Objectives, Course Transfer Status",2025 Summer,
COUNSEL022,,The Transfer Process,,,X,,1.0,,Transferable to CSU only,Approved,"Transfer Status, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Summer,
COUNSEL040,,College Success Seminar,,,X,,3.0,,Transferable to both UC and CSU,Approved,,2025 Winter,
CS101,,Introduction to Computer Science,,,X,,3.0,,Transferable to both UC and CSU,Approved,,2025 Winter,
CS112,,Programming in Javascript,,,X,,3.0,,Transferable to CSU only,Approved,,2024 Fall,
CS119,,Programming in Python,,,X,,3.0,,Transferable to CSU only,Approved,,2025 Fall,
CS157,,Full-Stack Web Application Development,,,X,,3.0,,Transferable to CSU only,Approved,"College Catalog Course Description, Transfer Status, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2024 Fall,
CS213,,Advanced Programming in Java,,,X,,3.0,,Transferable to both UC and CSU,Pending,"Course Prerequisites, Corequisites, Antirequisites, and Advisories, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2026 Winter,
CS216,,Object-Oriented Programming in C++,,,X,,3.0,,Transferable to both UC and CSU,Approved,,2025 Fall,
DANCEST185,,Directed Study - Dance,,,X,,1.0,,Transferable to CSU only,Approved,"CSLOs, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
DANCEST805,,History And Appreciation Of Dance,,,X,,3.0,,Transferable to both UC and CSU,Approved,"CSLOs, Course Objectives, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
DANCETQ111,,Ballet Techniques I,,X,,,1.0,,Transferable to both UC and CSU,Pending,,2025 Summer,
DANCETQ112,,Ballet Techniques II,,X,,,1.0,,Transferable to both UC and CSU,Pending,,2025 Summer,
DANCETQ121,,Jazz Dance Techniques I,,,X,,1.0,,Transferable to both UC and CSU,Approved,"CSLOs, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
DANCETQ122,,Jazz Dance Techniques II,,,X,,1.0,,Transferable to both UC and CSU,Approved,"College Catalog Course Description, CSLOs, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
DANCETQ141,,Modern Dance Techniques I,,,X,,1.0,,Transferable to both UC and CSU,Approved,"CSLOs, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
DANCETQ142,,Modern Dance Techniques II,,,X,,1.0,,Transferable to both UC and CSU,Approved,"CSLOs, Add to Distance Education Approved Report, Indicate DE Approval in Affiliated Programs, Course Transfer Status",2025 Spring,
